Name,Speed - Ground,Speed - Water,Speed - Air,Speed - Anti-Gravity,Acceleration,Weight,Handling - Ground,Handling - Water,Handling - Air,Handling - Anti-Gravity,Traction,Mini-Turbo
Super Glider*,0,0,0,0,0,0,0,0,0,0,0,0
Cloud Glider,0,0,-0.25,0,0.25,-0.25,0,0,0.25,0,0,0.25
Wario Wing,0,0,0,0,0,0,0,0,0,0,0,0
Waddle Wing,0,0,0,0,0,0,0,0,0,0,0,0
Peach Parasol***,0,0,-0.25,0,0.25,-0.25,0,0,0.25,0,0,0.25
Parachute,0,0,-0.25,0,0.25,-0.25,0,0,0.25,0,0,0.25
Parafoil,0,0,-0.25,0,0.25,-0.25,0,0,0.25,0,0,0.25
Flower Glider,0,0,-0.25,0,0.25,-0.25,0,0,0.25,0,0,0.25
Bowser Kite,0,0,-0.25,0,0.25,-0.25,0,0,0.25,0,0,0.25
Plane Glider,0,0,0,0,0,0,0,0,0,0,0,0
MKTV Parafoil,0,0,-0.25,0,0.25,-0.25,0,0,0.25,0,0,0.25
Gold Glider,0,0,0,0,0,0,0,0,0,0,0,0
Hylian Kite (DLC),0,0,-0.25,0,0.25,-0.25,0,0,0.25,0,0,0.25
Paper Glider (DLC),0,0,0,0,0,0,0,0,0,0,0,0
